!	!	!	PUNCT
"	"	''	PUNCT
''n	''n	DET	DET.Ind.Acc.Sg.Neut	1.0	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
''n	''n	DET	DET.Ind.Nom.Sg.Fem	1.0	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
''n	''n	DET	DET.Ind.Nom.Sg.Masc	1.0	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
''n	''n	DET	DET.Ind.Nom.Sg.Neut	1.0	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
''t	''t	PRON.2.Acc.Sg.clit	PRON.2.Acc.Sg.clit
''t	''t	PRON.2.Dat.Sg.clit	PRON.2.Dat.Sg.clit
''t	''t	PRON.2.Nom.Sg.clit	PRON.2.Nom.Sg.clit
''t	''t	PRON.3.Acc.Sg.Neut.clit	PRON.3.Acc.Sg.Neut.clit
''t	''t	PRON.3.Dat.Sg.Neut.clit	PRON.3.Dat.Sg.Neut.clit
''t	''t	PRON.3.Nom.Sg.Neut.clit	PRON.3.Nom.Sg.Neut.clit
'ck	'k	PRON.1.Nom.Sg.clit	PRON.1.Nom.Sg.clit
'k	'k	PRON.1.Nom.Sg.clit	PRON.1.Nom.Sg.clit
'm	'm	dE	DET.Def.Dat.Masc.Sg.clit
'm	'm	dE	DET.Def.Dat.Neut.Sg.clit
'm	'm	dE	DET.Ind.Dat.Masc.Sg.clit
'm	'm	dE	DET.Ind.Dat.Neut.Sg.clit
'm	'm	PRON.3.Acc.Sg.Masc.clit	PRON.3.Acc.Sg.Masc.clit
'm	'm	PRON.3.Dat.Sg.Masc.clit	PRON.3.Dat.Sg.Masc.clit
'n	'n	DET	DET.Ind.Acc.Sg.Fem	1.0	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
'ne	'ne	En	DET.Ind.Fem.Acc.Sg.clit
'nt	'nt	En	PRON.Ind.Neut.Sg.Acc.clit
'nt	'nt	En	PRON.Ind.Neut.Sg.Nom.clit
's	's	et	PRON.3.Sg.Neut.Acc.Sg.clit.hd
's	's	et	PRON.3.Sg.Neut.Nom.Sg.clit.hd
's	's	dE	DET.Def.Nom.Sg.Neut.clit.hd
's	's	dE	DET.Def.Acc.Sg.Neut.clit.hd
's	's	dE	DET.Def.Dat.Sg.Neut.clit.hd
't	't	dat	DET.Def.Neut.Acc.Sg.clit
't	't	dat	DET.Def.Neut.Dat.Sg.clit
't	't	dat	PRON.Dem.Neut.Acc.Sg.clit
't	't	et	PRON.3.Sg.Neut.Acc.clit
(	(	(	PUNCT
)	)	)	PUNCT
*	*	SYM	PUNCT
,	,	,	PUNCT
-	-	-	PUNCT
--	-	-	PUNCT
.	.	SYM	PUNCT
1	1	1	NUM
10	10	10	NUM
11	11	11	NUM
5o	sO	sO	ADV.ocr
6	6	6	NUM
:	:	:	PUNCT
;	;	;	PUNCT
?	?	? 	PUNCT
Ach	ax	ax	INTJ	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Acht	axt	axt	NUM
Acht	axt	axt	ADV
Aehr	Är	sE	DET.Poss.3.Sg.Fem.Masc.Nom.Sg
Aehr	Är	sE	PRON.3.Sg.Fem.Acc
Aehr	Är	sE	DET.Poss.3.Sg.Fem.Neut.Nom.Sg
Aehr	Är	sE	DET.Poss.3.Sg.Fem.Neut.Acc.Sg
Aehr	Är	sE	PRON.3.Sg.Fem.Dat.Sg
Aehr'n	Ärn	sE	DET.Poss.Pl.Masc.Acc.Sg
Aernst	Ärnst	Ärnst	NOUN.Masc.Dat.Sg
Ah	a	a	INTJ
All	al	al	ADV
All	al	al	DET.Tot.Pl.Acc
All	al	al	DET.Tot.Pl.Nom
All	al	al	DET.Tot.Pl.Nom
All'	al	al	PRON.Tot.Nom.Pl
All'	al	al	PRON.Tot.Acc.Pl
All'	al	al	DET.Tot.Dat.Pl
All'	al	al	DET.Tot.Dat.Pl
All'n	a'len	al	PRON.Tot.Dat.Pl
Allen	a'len	al	PRON.Tot.Dat.Sg
Allen	a'len	al	PRON.Tot.Dat.Pl
Allen	a'len	al	DET.Tot.Dat.Pl
Allen	a'len	al	DET.Tot.Acc.Sg
Allen	a'len	al	DET.Tot.Acc.Pl
Allerlei	a'ler'lei	alerlei	ADV	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Fem.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Fem.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Masc.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Neut.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Neut.Nom.wk	0.91044776119403	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Pl.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Pl.Nom.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Allmälig	al'mÄ'lig	almÄlix	ADV	0.696517412935323	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Allwiel	al'wIl	al+wIl	ADV	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Als	als	as	ADP.hd
Als	als	as	SCONJ.hd
Am	am	an	ADP DET.Def.Masc.Dat.Sg.clit
Am	am	an	ADP DET.Def.Neut.Dat.Sg.clit
Amtmannsfru	amt'mans'frU	amt/NOUN.Neut+man/NOUN.Masc-s+frU	NOUN.Fem.Nom.Sg
Amtmannskitzel	amt'mans'kit'sel	amt/NOUN.Neut+man/NOUN.Masc-s+kitsel	NOUN.Masc.Nom.Sg.hd
Amtslüd'	amts'lÜd	amt/NOUN.Neut-s+lÜd	NOUN.Pl.Dat
An	an	an	ADP
An	an	an	PART
Andacht	an'daxt	andaxt	NOUN.Fem.Dat.Sg.hd
Andrang	an'drang	an+drang	NOUN.Masc.Nom.Sg.hd
Anhänglich	an'heng'lix	an+hengen/VERB-lix	ADV
Anner	a'ner	äner	ADJ.Pos.Masc.Nom.Sg.Def
Anner	a'ner	äner	ADJ.Pos.Fem.Dat.Sg.Def
Anner	a'ner	äner	ADJ.Pos.Masc.Nom.Sg.Ind
Anner	a'ner	äner	ADJ.Pos.Masc.Nom.Sg.Def
Anner	a'ner	äner	ADJ.Pos.Masc.Nom.Sg.Def
Anner	a'ner	äner/ADJ.Pos	NOUN.Masc.Nom.Sg
Anner	a'ner	äner/ADJ.Pos	NOUN.Masc.Nom.Sg
Annern	a'nern	äner	ADJ.Acc.Ind.Masc.Sg	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Anners	a'ners	äners	ADV	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Anno	a'no	ano	ADP.lat
Antwoort	ant'wOrt	ant-wOrd	NOUN.Fem.Nom.Sg
Antwoort	ant'wOrt	ant-wOrd	NOUN.Fem.Dat.Sg
Antwoort	ant'wOrt	ant-wOrd	NOUN.Fem.Acc.Sg
Arbeitsmann	ar'beits'man	arbeid/NOUN.Fem-s+man	NOUN.Masc.Acc.Sg
Arfschaft	arf'Saft	ärv/NOUN.Neut-Saft	NOUN.Fem.Nom.Sg
Arfschaft	arf'Saft	ärv/NOUN.Neut-Saft	NOUN.Fem.Acc.Sg
As	as	as	ADP
As	as	as	SCONJ
As	as	as	SCONJ
Baaren	ba'ren	bar/ADJ.Pos	NOUN.Neut.Dat.Sg
Balbeer	bal'bEr	balbEr	NOUN.Masc.Acc.Sg
Bald	bald	bald	ADV
Ball	bal	bald	ADV
Ball	bal	bal	NOUN.Masc.Nom.Sg
Baron	ba'rOn	barOn	NOUN.Masc.Nom.Sg
Bartel	bar'tel	bartel	PROPN.Masc.Nom.Sg
Barteln	bar'teln	bartel/PROPN-en	PROPN.Fem.Nom.Sg
Beben	bE'ven	bEven	VERB.Inf
Beben	bE'ven	bEven/VERB.Inf	NOUN.Neut.Dat.Sg
Bedrifft	be'drift	be-drIven	VERB.3.Sg.Ind.Prs
Bedächtig	be'dex'tig	bedechtig	ADV	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Been'	bEn	bEn	NOUN.Neut.Acc.Pl
Been'	bEn	bEn	NOUN.Neut.Dat.Pl
Beer	bEr	bEr	NOUN.Neut.Dat.Sg
Beest	bEst	bEst	NOUN.Neut.Acc.Sg
Beest	bEst	bEst	NOUN.Neut.Nom.Sg
Beet	bEt	bIten	VERB.3.Ind.Prt.st
Befroagt	be'frågt	be-frågen	VERB.PPast.wk
Begehr	be'gEr	begEr	NOUN.Fem.Dat.Sg.hd
Behöllt	be'hölt	be-holen	VERB.3.Sg.Ind.Prs
Beid	beid	beid/NUM	ADV
Beid'	beid	beid	NUM
Beid'	beid	beid/NUM	ADV
Beid'	beid	beid/NUM	ADV
Beiden	bei'den	beid/NUM	PRON.Du.Dat.Pl
Beiden	bei'den	beid/NUM	ADJ.Pos.Nom.Pl
Beiden	bei'den	beid/NUM	ADJ.Pos.Dat.Pl
Beiden	bei'den	beid/NUM	NOUN.Dat.Pl
Beiden	bei'den	beid/NUM	NOUN.Nom.Pl
Bericht	be'rixt	be'rixt	NOUN.Masc.Acc.Sg
Berlin	ber'lIn	berlIn	PROPN.Top.Neut.Dat.Sg
Besatt	be'sat	be-siten?	VERB.3.Sg.Ind.Prt.st
Besinn'n	be'si'n	be-sinen	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Besinn'n	be'si'n	be-sinen	VERB._.Pl.Ind.Prs	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Besinnen	be'si'nen	be-sinen	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Best'	best	best	ADJ.Spv.Neut.Nom.Sg.Def
Best'	best	best	ADJ.Spv.Masc.Acc.Sg.Def
Best'	best	best	ADJ.Spv.Fem.Acc.Sg.Def
Best'	best	best/ADJ.Spv	NOUN.Neut.Nom.Sg
Best'	best	best/ADJ.Spv	NOUN.Masc.Acc.Sg
Best'	best	best/ADJ.Spv	NOUN.Fem.Acc.Sg
Bestellt	bes'telt	be-stelen	VERB.PPast.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bester	bes'ter	best	ADJ.Spv.Masc.Nom.Sg.Def
Bester	bes'ter	best/ADJ.Spv	NOUN.Masc.Nom.Sg
Bestännig	bes'te'nig	be-stennig	ADJ.Pos.Fem.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bestännig	bes'te'nig	be-stennig	ADJ.Pos.Fem.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bestännig	bes'te'nig	be-stennig	ADJ.Pos.Masc.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bestännig	bes'te'nig	be-stennig	ADJ.Pos.Neut.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
